ID,ClientProfile,InvoiceNumber,Product,AmountInINR,InvoiceDate: Day,Period,Product → Name
699c0b6ef366e6654fb71d57,691ad066c1be9f00117d31cf,80551,67ed22ef8812861b905e55ae,"1,828","Monday, February 23, 2026",QUATERLY,Accounts Lite
699c0cec47ca3d001fb1a502,69724ddc0e12e100110edd20,80552,67ed22ef8812861b905e55ae,"2,220","Monday, February 23, 2026",YEARLY,Accounts Lite
699c1acabb0cad00119fd62a,687cb37aec6f51008edf8430,80553,68da88e59da3e16b92878049,"73,617","Monday, February 23, 2026",2YEARLY,Operations
699c1f3cda6aea0018a88701,6734a6245e2256003dfb7873,80554,67ed22ef8812861b905e55ae,"11,799","Monday, February 23, 2026",3YEARLY,Accounts Lite
699c284c61b3f600186effbc,633be60e7752440012d80a1b,80555,67ed22ef8812861b905e55ae,"6,785","Monday, February 23, 2026",YEARLY,Accounts Lite
699c387bbb0cad0011b31105,698dca76fadd71001fa8f42e,80556,66ab9a17719448fd53e260e6,"11,800","Monday, February 23, 2026",YEARLY,CRM Pro
699c3991a0ec5f00115c50b7,6648b1d7ce655600b9339c15,80557,65cc64881cfc439f4e6d7b5d,"5,500","Monday, February 23, 2026",3YEARLY,Starter Plus
699c3d30f719970011e4b780,67a36cdd5fa2ee003cb9482d,80558,68da88e49da3e16b92877a41,"6,962","Monday, February 23, 2026",YEARLY,Workflows
699c3f5da0ec5f00115ccabc,69478dd7a81b2a001110aa67,80559,67ed22f08812861b905e5a7d,"17,074","Monday, February 23, 2026",YEARLY,Accounts
699c3f89da6aea0018bdab25,64a782369efa6c0012b87dc4,80560,67ed22ef8812861b905e55ae,"5,222","Monday, February 23, 2026",YEARLY,Accounts Lite
699c401061b3f600187d579a,645391ac2646a80019cec0ae,80561,67ed22ef8812861b905e55ae,"2,319","Monday, February 23, 2026",QUATERLY,Accounts Lite
699c40dac05966001fb7dcbf,67a453eeba3d3100aea73c54,80562,65cc64881cfc439f4e6d7b5d,"4,000","Monday, February 23, 2026",YEARLY,Starter Plus
699c4b72627e0a00111be8b5,68c9b0f06cb8ef00125a1a9c,80563,65cc64881cfc439f4e6d7b5d,"9,674","Monday, February 23, 2026",YEARLY,Starter Plus
699c4c264b4c200011cbc0e0,666cfd1d70d8b10032003684,80564,67ed22ef8812861b905e55ae,"4,837","Monday, February 23, 2026",YEARLY,Accounts Lite
699c4e9ecd3d52002ac63f33,6017f93b1b2d5a32ad9a3128,80565,67ed22ef8812861b905e55ae,"33,916","Monday, February 23, 2026",LIFETIME,Accounts Lite
699c4f1a61b3f600188699e6,680b3724da54c40012ef8c0f,80566,67ed22ef8812861b905e55ae,"1,810","Monday, February 23, 2026",QUATERLY,Accounts Lite
699c52fe6ff949002ad3319e,65f6ee578392c10012e80a06,80567,64c15973bf9d64959f848e3b,"1,180","Monday, February 23, 2026",YEARLY,Freelancer
699c5343da6aea0018c8ce82,629709426158ec0013fbda33,80568,68da88e49da3e16b92877a41,"35,400","Monday, February 23, 2026",3YEARLY,Workflows
699c542fc05966001fc281ee,699ae0c8cd3d52002a70dd40,80569,67ed22ef8812861b905e55ae,"51,000","Monday, February 23, 2026",LIFETIME,Accounts Lite
699c5ff2a599620011c2c530,65251279e1f6d30019a0c5dd,80570,67ed22ef8812861b905e55ae,"5,782","Monday, February 23, 2026",YEARLY,Accounts Lite
699c618a87eb800011c6c22a,6494468f43c1f80011d9c421,80571,65cc64881cfc439f4e6d7b5d,"1,800","Monday, February 23, 2026",YEARLY,Starter Plus
699c705da599620011c5d907,6987934382ca4100113a469e,80572,67ed22ef8812861b905e55ae,"6,810","Monday, February 23, 2026",YEARLY,Accounts Lite
699c72fc277bc4001f4f53b0,69380062364dd0001f76497a,80573,65cc64881cfc439f4e6d7b5d,"2,360","Monday, February 23, 2026",YEARLY,Starter Plus
699c7c06b6626b0018c81d25,66d1ef8ffaa0f600193e3da5,80574,67ed22ef8812861b905e55ae,"4,010","Monday, February 23, 2026",QUATERLY,Accounts Lite
699c842c277bc4001f5267f5,652fbb8a4b652c001197ccd8,2025-26/MY/00057,67ed22ef8812861b905e55ae,"2,324","Tuesday, February 24, 2026",QUATERLY,Accounts Lite
699c910087eb800011ce7454,664afc13133bdb002670f125,80575,67ed22ef8812861b905e55ae,"3,978","Monday, February 23, 2026",QUATERLY,Accounts Lite
699ca0feb6626b0018d69cf6,694328d601210a00186c743b,80576,67ed22ef8812861b905e55ae,"1,089","Tuesday, February 24, 2026",MONTHLY,Accounts Lite
699ca3c8aaa8b622af3d0fe9,62794dea7003620012bf733f,80577,67ed22ef8812861b905e55ae,"3,322","Tuesday, February 24, 2026",QUATERLY,Accounts Lite
699cfa73d8f20d002a4ef409,67d6c96250ee050316172f61,80578,67ed22ef8812861b905e55ae,"17,151","Tuesday, February 24, 2026",3YEARLY,Accounts Lite
699d2ff6a599620011ddabe1,68d26caddb1b2c003d6da940,80579,67ed22ef8812861b905e58bc,"14,160","Tuesday, February 24, 2026",YEARLY,Accounts GST
699d300e6e7061001f206310,67c58459e68ae3003fbabb9a,80580,67ed22f08812861b905e5a7d,"25,960","Tuesday, February 24, 2026",YEARLY,Accounts
699d3ad1277bc4001f6b66a2,699d3384fa7fbc002a0162c7,80581,67ed22ef8812861b905e55ae,"3,481","Tuesday, February 24, 2026",YEARLY,Accounts Lite
699d3c3287eb800011e70302,688787cf03f73e0012262874,80582,68da88e49da3e16b928775bb,"33,040","Tuesday, February 24, 2026",3YEARLY,Accounts Core
699d4167d8f20d002a5e1c25,66c5f6bced14bc008208b29c,2025-26/MY/00058,67ed22ef8812861b905e55ae,"6,953","Tuesday, February 24, 2026",YEARLY,Accounts Lite
699d4f75fa7fbc002a127f99,697da2f813dc96002a85c1a1,80583,65cc64881cfc439f4e6d7b5d,"1,800","Tuesday, February 24, 2026",YEARLY,Starter Plus
699d5693277bc4001f7da29f,6995e4e515179f0018869440,80585,65cc64881cfc439f4e6d7b5d,"2,360","Tuesday, February 24, 2026",YEARLY,Starter Plus
699d59c44b4c200011cf9f9a,62345f63bae62e00124bb180,80586,67ed22ef8812861b905e55ae,"11,564","Tuesday, February 24, 2026",3YEARLY,Accounts Lite
699d5bdf777f710018725f66,693c38b64f6dd700182e696d,80587,65cc64881cfc439f4e6d7b5d,"6,490","Tuesday, February 24, 2026",3YEARLY,Starter Plus
699d71f46e7061001f49103d,697b53cd4459fa00117b041b,80589,68da88e49da3e16b92877a41,"52,038","Tuesday, February 24, 2026",YEARLY,Workflows
699d768e8c100b0018deadb7,634e7ffb539a590012bffca0,80590,67ed22ef8812861b905e55ae,"14,698","Tuesday, February 24, 2026",3YEARLY,Accounts Lite
699d77dd5a16724ec9ca9e62,692fea81a18232002a1dcfd6,80591,67ed22ef8812861b905e55ae,"5,222","Tuesday, February 24, 2026",YEARLY,Accounts Lite
699d782b8c100b0018df0896,694a5f52c602600011581898,80592,67ed22ef8812861b905e58bc,"9,446","Tuesday, February 24, 2026",YEARLY,Accounts GST
699d79c96f1c83002a90cfa0,66c46ec8450862008d800a54,2025-26/MY/00059,68da88e49da3e16b928775bb,"33,706","Tuesday, February 24, 2026",3YEARLY,Accounts Core
